objectid,filename,websitelink,creator,title,description,subject,language,type_of_resource,genre,local_Identifier,publisher,display_date,date_created,date,location,latitude,longtitude,form,extent,transcriptionnote,citation,titlenote,source,rights,collectioninrepository,digitalcollection,type,format
postcard0,https://dcr.lib.unc.edu/services/api/iiif/v3/35ba2594-20d2-445f-ad87-dfd8d181c07d/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/35ba2594-20d2-445f-ad87-dfd8d181c07d,,"[Asheville Flood, 1916]","View of downtown Asheville, N.C. during a flood. The Asheville Grocery Company is visible at right.",North and Central America; United States; North Carolina; Postcards--North Carolina; Floods; Grocers; Business districts; Disasters; Asheville (N.C.); Buncombe County (N.C.),English,still image,Postcards,P077;2-447,,ca. 1916,1916~,1916,"Asheville, NC",35.595054,-82.553072,Paper,82 mm x 135 mm,1916 Flood Asheville is written in pencil on the back of the card.,"""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Title supplied by repository,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard1,https://dcr.lib.unc.edu/services/api/iiif/v3/ded141b2-a54e-4aac-8fa3-b6c1b44bb58a/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/ded141b2-a54e-4aac-8fa3-b6c1b44bb58a,,"""The Freshet,"" Near Knitting Mill, Person Street, Aug. 28 1908, Fayetteville, N.C.","Floodwaters fill Person Street in Fayetteville, N.C., as men, boys, horses, and a wagon wade through the standing water in front of the knitting mill (AI-generated)",Postcards--North Carolina; Commercial streets; Floods; Mills; Horses; Carts & wagons; Fayetteville (N.C.); Cumberland County (N.C.),English,still image,Postcards,P077;5-180,"Jessup Dry Goods Co., Fayetteville, N.C.",,1908,1908,"Fayetteville, NC",35.05175928,-78.87869226,Paper,,,"""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard2,https://dcr.lib.unc.edu/services/api/iiif/v3/4b1e42b9-046d-47e0-b379-3e5dbe6ff17f/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/4b1e42b9-046d-47e0-b379-3e5dbe6ff17f,,"[Aftermath of Flood, Fayetteville, N. C.]","A large crowd of people perches atop and stands around a freight train stopped on a truss bridge over a river in Fayetteville, N.C., while onlookers watch from the nearby banks (AI-generated)",North and Central America; United States; North Carolina; Postcards--North Carolina; Fayetteville (N.C.); Cumberland County (N.C.) ,English,still image,Postcards,P077;2-195,,ca. 1907,1907~,1907,"Fayetteville, NC",35.05175928,-78.87869226,Paper,,"Written notation on back of card reads: ""Fayetteville 1907 N.C.""","""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Title supplied by repository,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard3,https://dcr.lib.unc.edu/services/api/iiif/v3/fe6f1853-0709-4e58-8780-a4ba8a19dd3f/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/fe6f1853-0709-4e58-8780-a4ba8a19dd3f,,"[Fayetteville Flood, 1907]",Real photo view of two people in a canoe and two boys standing in a flooded yard in front of a house.,North and Central America; United States; North Carolina; Postcards--North Carolina; Floods; Canoes; Boys; Disasters; Fayetteville (N.C.); Cumberland County (N.C.),English,still image,Postcards,P077;2-193,,,1907,1907,"Fayetteville, NC",35.05175928,-78.87869226,Paper,88 mm x 138 mm,"Handwritten notation on back of card: ""Fayetteville Flood, 1907, N.C.""","""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Title supplied by repository,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard4,https://dcr.lib.unc.edu/services/api/iiif/v3/c157ed30-31fd-4e57-be19-631b08343cab/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/c157ed30-31fd-4e57-be19-631b08343cab,"Draper, Thomas R.",Babtist Church After Flood,"Real photo view of a building in ruins. The card also reads, ""Draper.""",North and Central America; United States; North Carolina; Postcards--North Carolina; Disaster; Churches; Baptist churches,English,still image,Postcards,P077;1-279,,,1913,1913,,,,Paper,86 mm x 137 mm,"Message on back of card reads: ""Bless your heart. I wish I could do something to keep you. I tried to talk to the hospital yesterday but could not raise Norfolk. When are you coming home - John[illegible] T."" Addressed to: ""Mrs Eva Way c/o Miss Anna Rose Cohn, [Illegible] Norfolka Va.""","""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard5,https://dcr.lib.unc.edu/services/api/iiif/v3/fcfdf8aa-b490-47d7-ab3d-a0352aae6666/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/fcfdf8aa-b490-47d7-ab3d-a0352aae6666,,"""The Freshet."" Person St., Looking North","View of a flooded downtown street, showing pedestrians and horse-drawn carts. The card also reads, ""Morning of Aug. 28, 1908, Fayetteville, N.C. Pub. by Jessup Goods Co., Fayetteville, N.C.""",North and Central America; United States; North Carolina; Cumberland County; Fayetteville; Postcards--North Carolina; Floods; Business districts; Carts & wagons; Fayetteville (N.C.); Cumberland County (N.C.),English,still image,Postcards,P077;1-135,"Jessup Dry Goods Co., Fayetteville, N.C.",ca. 1908,1908~,1908,"Fayetteville, NC",35.05175928,-78.87869226,Paper,89 mm x 138 mm,,"""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard6,https://dcr.lib.unc.edu/services/api/iiif/v3/2a446c65-9831-4883-bb00-6307317599d0/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/2a446c65-9831-4883-bb00-6307317599d0,,"Power House of Cardinal Manufacturing Company, after flood of July 16, 1916, Penland, N. C.",Riverside power house and low dam after flood (AI-generated),North and Central America; United States; North Carolina; Postcards--North Carolina; Penland (N.C.); Mitchell County (N.C.),English,still image,Postcards,P077;2-136,,ca. 1916,1916~,1916,"Penland, NC",35.93011627,-82.11206533,Paper,,,"""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard7,https://dcr.lib.unc.edu/services/api/iiif/v3/c75f8684-77c0-4dcb-8128-8b4c997728ca/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/c75f8684-77c0-4dcb-8128-8b4c997728ca,,"Scenes During Flood, March, 1912, Roanoke Rapids, N. C.","Collage of flood damage at Roanoke Rapids, N.C., March 1912: mills, warehouses, interiors. (AI-generated)","North and Central America; United States; North Carolina; Postcards--North Carolina; Roanoke Rapids (N.C.);
Halifax County (N.C.)",English,still image,Postcards,P077;2-160,,ca. 1912,1912~,1912,"Roanoke Rapids, NC",36.4612338,-77.65462468,Paper,,,"""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard8,https://dcr.lib.unc.edu/services/api/iiif/v3/6b801f58-23da-4cda-ad36-82478af0ac5f/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/6b801f58-23da-4cda-ad36-82478af0ac5f,"Robinson, John Graham, 1878-1923","Flood District, Riverside Park, July 16-17","Real photo view of of a flooded area, showing the roof of a parked car and several pedestrians standing at the water's edge."" The card also reads, ""#8 Robinson.""",North and Central America; United States; North Carolina; Buncombe County; Asheville; Postcards--North Carolina; Floods; Disasters; Automobiles; Pedestrians; Asheville (N.C.); Buncombe County (N.C.),English,still image,Postcards,P077;1-439,,,1916,1916,"Asheville, NC",35.595054,-82.553072,Paper,87 mm x 138 mm,,"""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
postcard9,https://dcr.lib.unc.edu/services/api/iiif/v3/eb26a604-7135-49fc-8106-a3bcad430d91/full/max/0/default.jpg,https://dcr.lib.unc.edu/record/eb26a604-7135-49fc-8106-a3bcad430d91,"Draper, Thomas R.","Drying Stock After Flood, Draper, N.C.","Real photo view of many clotheslines full of drying laundry strung along a downtown street in Draper (now Eden), N.C. Also in the street are various goods, a man with a horse-drawn wagon, and another man with a bicycle.",North and Central America; United States; North Carolina; Rockingham County; Eden; Postcards--North Carolina; Clotheslines; Business districts; Carts & wagons; Disaster relief; Draper (N.C.); Eden (N.C.); Rockingham County (N.C.),English,still image,Postcards,P077;1-277,,ca. 1913,1913~,1913,"Belhaven, NC",35.53769455,-76.62047151,Paper,87 mm x 137 mm,"Handwritten notation on back of card: ""1913 Belhaven, N.C., Hurricane""","""[Postcard title]"" in Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",,"Durwood Barbour Collection of North Carolina Postcards (P077), North Carolina Collection Photographic Archives, Wilson Library, UNC-Chapel Hill",Public Domain,"Durwood Barbour Collection of North Carolina Postcards, 1905-1980s, 2007",North Carolina Postcards,Image,image/jpeg
